Job,Salary,Company,Location
ANALISTA DE DATOS,Sueldo no mostrado por la empresa,,"Cuautitlán Izcalli, Edo. Méx.​"
ANALISTA DE DATOS,Sueldo no mostrado por la empresa,Hitss,CDMX
Analista de Datos,"$20,000 - $25,000  Mensual",Aceros Levinson S.A. d...,"Monterrey, N.L."
Analista de datos (por incapacidad),"$17,000 - $18,000  Mensual",Sky,"Benito Juárez, CDMX"
Analista de Datos y Costos,"$15,000 - $18,000  Mensual",,"San Miguel de Allende, Gto."
Analista de Datos Bussines Intelligence,Sueldo no mostrado por la empresa,Comercializadora de Va...,"Guadalajara, Jal."
Analista de datos maestros SAP,Sueldo no mostrado por la empresa,"Productos Verde Valle,...","Zapopan, Jal."
Analista base de datos,"$30,000 - $35,000  Mensual",Servicios TVM de Méxic...,"Miguel Hidalgo, CDMX"
Bases de Datos Analista,"$15,000  Mensual","Manpower, S.A. de C.V.","San Luis Potosí, SLP."
Analista de Base de Datos,"$15,000 - $16,000  Mensual",Grupo Daisa,"Cuauhtémoc, CDMX"
Analista de calidad de datos,"$10,000 - $12,000  Mensual","HERMANOS BATTA, S.A. D...","León, Gto."
Analista de Base de Datos,Sueldo no mostrado por la empresa,Grupo Kasa,"Tlalnepantla de Baz, Edo. Méx.​"
Analista de mineria de datos,"$7,000 - $10,000  Mensual",ALTA RENTABILIDAD SA D...,"Benito Juárez, CDMX"
Analista de base de datos,"$18,000 - $20,000  Mensual",Especialistas Contacto...,"Tlalpan, CDMX"
Analista de minería de datos,"$9,000 - $12,000  Mensual",TANGERINE DISTRIBUTIONS,"Narvarte Poniente, Benito Juárez, CDMX"
Analista de bases de datos e inventarios,"$15,000 - $16,500  Mensual",,"Álvaro Obregón, CDMX"
Analista Estadístico de Datos para Contac Center,"$7,640 - $9,900  Mensual","Atento Servicios, S. A...","Cuautitlán Izcalli, Edo. Méx.​"
Analista de Tecnología de Datos para Contac Center,"$7,600 - $9,000  Mensual","Atento Servicios, S. A...","Toluca, Edo. Méx.​"
Analista de Tecnología de Datos para Contac Center,"$7,600 - $9,000  Mensual","Atento Servicios, S. A...","Cuautitlán Izcalli, Edo. Méx.​"
ANALISTA DE MINERIA DE DATOS AT&T,"$7,000  Mensual",ALTA RENTABILIDAD SA D...,"Benito Juárez, CDMX"
Analista de Tecnología de Datos para Contac Center,"$7,600 - $9,000  Mensual","Atento Servicios, S. A...","Pachuca de Soto, Hgo."
Analista Estadístico de Datos para Contac Center Toluca,"$7,640 - $9,900  Mensual","Atento Servicios, S. A...","Toluca, Edo. Méx.​"
Analista Estadístico de Datos para Contac Center Pachuca,"$7,640 - $9,900  Mensual","Atento Servicios, S. A...","Pachuca de Soto, Hgo."
ANALISTA DE MINERIA DE DATOS AT&T/ MEDIO TIEMPO ESTUDIAN,"$7,000  Mensual",ALTA RENTABILIDAD SA D...,"Benito Juárez, CDMX"
Analista de información base de datos-Excel avanzado,"$15,000  Mensual",Grupo Prom,CDMX
Data Analyst (Production Process Optimization),Sueldo no mostrado por la empresa,SIEMENS SA DE CV,"Guadalajara, Jal."
Sr. Data Analyst BI,"$50,000  Mensual",ESSILORLUXOTTICA MEXIC...,"Chihuahua, Chih."
Strategy & Business Intelligence Data Analyst,Sueldo no mostrado por la empresa,Page Personnel,"Monterrey, N.L."
Control y Cobertura de Mercadeo,"$20,000 - $21,000  Mensual",Cervecería Cuauhtémoc ...,"Durango, Dgo."
Analista Data,"$15,000 - $15,001  Mensual",,CDMX
Automation tester,Sueldo no mostrado por la empresa,Softtek,
Analista de Mejora de Procesos y Cumplimiento (PIC) -Practic,"$7,500  Mensual",Softtek,"Monterrey, N.L."
ANALISTA DE CONTROL DE LA INFORMACION,"$14,999 - $15,000  Mensual",Libertad Servicios Fin...,"Querétaro, Qro."
Bilingual Business Analyst- Remote,Sueldo no mostrado por la empresa,"OUTOKUMPU MEXINOX, S.A...",Edo. Méx.​
"Data Audit Specialist bilingual, remote, freelance","$15,000 - $20,000  Mensual",Christian Muller,
Analista de business intelligence,"$50,000 - $60,000  Mensual",,CDMX
ANALISTA FUNCIONAL DE SISTEMAS,Sueldo no mostrado por la empresa,"AP Latam Holdings, LLC","Coyoacán, CDMX"
Analista de Seguridad de la información/ Consultor Seguridad,"$12,000 - $17,000  Mensual",Cibernos Consulting MX...,CDMX
Analista de refrigeración,"$7,500  Mensual",Femsa,"Oaxaca de Juárez, Oax."
Analista de proyectos especiales | Finanzas,Sueldo no mostrado por la empresa,Page Personnel,
Analista BI Sr,"$22,000 - $24,000  Mensual",Compras Centrales y Ad...,CDMX
Analista de ingresos y cuentas por cobrar,"$20,000 - $25,000  Mensual","Roll Quality Services,...","Huixquilucan, Edo. Méx.​"
Analista en Prevención de Fraudes | Querétaro,"$15,000  Mensual","Manpower, S.A. de C.V.","Querétaro, Qro."
Analista Control de accesos,"$16,249 - $21,692  Mensual",,CDMX
Analista de Planeacion e Indicadores TPT,"$16,249  Mensual",,CDMX
ANALISTA JR. DE CRÉDITO AUTOMOTRIZ,"$10,900  Mensual","BANCO AUTOFIN MEXICO ,...","Extremadura Insurgentes, Benito Juárez, CDMX"
Analista de calidad - Temporal 4 meses,"$14,700 - $14,720  Mensual",MOLINOS AZTECA SA DE CV,"Ocozocoautla de Espinosa, Chis."
Analista de inventarios,"$12,000 - $17,000  Mensual",Worken,SLP.
Analista comercial,"$12,000  Mensual",Worken,"León, Gto."
ANALISTA EMPRESARIAL DOCUMENTAL – TOLUCA,"$13,650  Mensual",Banregio,"Toluca, Edo. Méx.​"
ANALISTA DE INGRESOS,"$15,000 - $20,000  Mensual",WALDO'S DOLAR MART DE ...,"Lerma, Edo. Méx.​"
Analista de Riesgo de Liquidez y Capitalización,Sueldo no mostrado por la empresa,"CIBANCO, S.A. INSTITUC...","Miguel Hidalgo, CDMX"
Analista de reclutamiento y selección,"$20,000 - $25,000  Mensual",,"Monterrey, N.L."
Analista de nómina Jr,"$12,000 - $14,000  Mensual",EXITUS CAPITAL SAPI DE...,"Santa Fe Cuajimalpa, Cuajimalpa de Morelos, CDMX"
Analista-Asistente de Importaciones,"$18,000 - $20,000  Mensual",ROSINECHO SC,"Cuajimalpa de Morelos, CDMX"
Analista de Sistemas,"$15,000  Mensual",GABRIEL BAYON Y COMPAÑ...,"Álvaro Obregón, CDMX"
Analista Soporte Preventa Movilidad,Sueldo no mostrado por la empresa,AXTEL SAB DE CV,CDMX
ANALISTA DE RESURTIDO Y MERCADEO,"$23,000  Mensual",Servicios Financieros ...,CDMX
Capturista de datos (LOGÍSTICA),"$6,000 - $7,000  Mensual",ABC LOGISTICA,"Tepotzotlán, Edo. Méx.​"
Analista de Sistemas,"$15,000  Mensual",GABRIEL BAYON Y COMPAÑ...,"Álvaro Obregón, CDMX"
COORDINADOR DE CEDIS,"$15,000 - $18,000  Mensual",,"Apodaca, N.L."
Analista tesoreria,"$18,000  Mensual",Banorte,"Tlalpan, CDMX"
Analista de Soporte Bilingüe Nivel 2 (Nocturno),"$20,000 - $25,000  Mensual",Alia,
Analista de ventas,Sueldo no mostrado por la empresa,NCH SERVICIOS SA DE CV,"San Pedro de los Pinos, Benito Juárez, CDMX"
Analista de Nominas - Temporal por Proyecto,Sueldo no mostrado por la empresa,IP CARTONES Y CORRUGAD...,"Querétaro, Qro."
Analista de Transferencias Internacionales,"$15,000 - $18,000  Mensual",Banco Monex S.A. Insti...,CDMX
Analista de capacitación,Sueldo no mostrado por la empresa,,"Toluca, Edo. Méx.​"
Analista de Higiene Ocupacional y Ergonomía,Sueldo no mostrado por la empresa,SIEMENS SA DE CV,"Santa Catarina, N.L."
Business Analyst,"$25,000 - $25,500  Mensual",,"Benito Juárez, CDMX"
ANALISTA DE RECLUTAMIENTO Y SELECCION I TEMPORAL,"$11,000  Mensual",Cervecería Cuauhtémoc ...,"Querétaro, Qro."
Contenedores Openshift Analista,"$15,000  Mensual","Manpower, S.A. de C.V.","San Luis Potosí, SLP."
Analista de recursos humanos,"$8,000 - $9,000  Mensual",NUEVA WAL MART DE MEXI...,"Valle de Nayarit, Tepic, Nay."
Analista capital humano (Temporal),"$15,000 - $16,000  Mensual",NUEVA WAL MART DE MEXI...,"Acámbaro, Gto."
Analista de comercio exterior,"$30,000 - $38,000  Mensual",,"Ramos Arizpe, Coah."
Analista Telemetría & Safety,"$16,000 - $17,000  Mensual",Femsa,"Santa Fe Cuajimalpa, Cuajimalpa de Morelos, CDMX"
Planeador de Inventarios,Sueldo no mostrado por la empresa,,"Tultitlán, Tultitlán, Edo. Méx.​"
Desarrollador front end jr,Sueldo no mostrado por la empresa,"AP Latam Holdings, LLC","Coyoacán, CDMX"
TTech_Analista SOC N1,Sueldo no mostrado por la empresa,Pegaso PCS,CDMX
ANALISTA  B2B-MX,Sueldo no mostrado por la empresa,Pegaso PCS,CDMX
Analista de reclutamiento y selección de personal,"$20,000 - $25,000  Mensual",CARIAD COMPANY S.A. DE...,"San Andrés Cholula, Pue."
Analista soporte técnico,Sueldo no mostrado por la empresa,LUMINAMED,"Tultitlán, Edo. Méx.​"
ANALISTA DE INFORMACIÓN Y CONTROL- CDMX,"$12,000 - $14,000  Mensual",Banco Monex S.A. Insti...,CDMX
Analista de riesgos de liquidez y capitalización,Sueldo no mostrado por la empresa,"CIBANCO, S.A. INSTITUC...","Mariano Escobedo, Miguel Hidalgo, CDMX"
Analista de indicadores RH,"$11,000 - $12,000  Mensual",SEGLO OPERACIONES LOGI...,"Puebla, Pue."
Analista FM inventarios(deseable experiencia en embarques),"$15,000  Mensual",Kelly Services,"Guadalajara, Jal."
Analista de Sistemas de Prevención de Riesgos Viales,Sueldo no mostrado por la empresa,Operadora de Servicios...,"Los Mochis, Ahome, Sin."
ANALISTA DE BI,"$17,600 - $17,601  Mensual",Grupo Salinas,"Benito Juárez, CDMX"
Analista de calidad,"$8,000 - $10,000  Mensual",Grupo Salinas,"Jiutepec, Mor."
ANALISTA DE ENERGIAS,"$20,000 - $25,000  Mensual",Comercializadora GONAC...,"Huamantla, Tlax."
Analista de seguridad patrimonial,"$15,000 - $16,000  Mensual","FARMACIA GUADALAJARA, ...","Villa de Tezontepec, Hgo."
ANALISTA DE PROSPECTOS,Sueldo no mostrado por la empresa,CONCRETOS DELESE SA DE...,"García, N.L."
Analista de contabilidad,"$10,000 - $12,000  Mensual",PLAMI SA DE CV,"Industrial Alce Blanco, Naucalpan de Juárez, Edo. Méx.​"
Analista de facturación,"$8,000  Mensual",OMNI PRINTER SA DE CV,"Iztapalapa, CDMX"
Asesor - Analista Fiscal,"$17,000  Mensual",,"Cuauhtémoc, CDMX"
Analista de Mesa de Servicio L2,Sueldo no mostrado por la empresa,AXTEL SAB DE CV,CDMX
Analista de TESORERIA y CONTAB para la zona Paseo de Montejo,"$12,000 - $15,000  Mensual",ALQUILADORA DE VEHICUL...,"Mérida, Yuc."
Analista de información,Sueldo no mostrado por la empresa,Grupo Salinas,"Coyoacán, CDMX"
ANALISTA DE CREDITO PARA FINANCIERA AUTOMOTRIZ,"$10,000  Mensual","Manpower, S.A. de C.V.","Texcoco, Edo. Méx.​"
Analista de sistemas de información RH (temporal),Sueldo no mostrado por la empresa,ALPLA MEXICO SA DE CV,"Toluca, Edo. Méx.​"
Analista de monitoreo,"$7,000 - $10,000  Mensual",H3 CONSULTING S DE RL ...,"Monterrey, N.L."
ANALISTA DE NOMINA,"$7,800 - $8,000  Mensual",,"Atizapán de Zaragoza, Edo. Méx.​"
Analista en Prevención de Fraudes | Querétaro,"$15,000  Mensual","Manpower, S.A. de C.V.","Querétaro, Qro."
Analista Sr de Inversiones - Family Office Coppel,Sueldo no mostrado por la empresa,"Coppel, S.A. de C.V.",CDMX
Analista comercial,"$6,000 - $6,300  Mensual",Grupo KC,"Oaxaca de Juárez, Oax."
Analista comercial,"$6,000 - $6,300  Mensual",Grupo KC,"Oaxaca de Juárez, Oax."
Analista programador Java,Sueldo no mostrado por la empresa,,CDMX
ANALISTA DE NUEVOS PRODUCTOS,Sueldo no mostrado por la empresa,"Productos Maver, S.A. ...","Álamo, Tlaquepaque, Jal."
Analista sharepoint (intranet),Sueldo no mostrado por la empresa,KPMG Cardenas Dosal,CDMX
Analista de marketing sr,"$20,000 - $23,000  Mensual",ECOSISTEMEX S. DE R.L....,CDMX
Analista de innovación financiera,"$30,000 - $37,000  Mensual",Seres Leading S.A. de ...,"El Marqués, Qro."
Analista de Servicios Especiales,Sueldo no mostrado por la empresa,Servicio Pan Americano...,"Nápoles, Benito Juárez, CDMX"
Analista de Operaciones - Seguros,Sueldo no mostrado por la empresa,CARDIF MEXICO SEGUROS ...,"Polanco I Sección, Miguel Hidalgo, CDMX"
Analista Comercial (Sector Asegurador),"$9,000 - $11,000  Mensual","MAPFRE México, S.A","Guadalajara, Jal."
Analista administrativo jr,"$9,000  Mensual",OMNI PRINTER SA DE CV,"Cerro de La Estrella, Iztapalapa, CDMX"
ANALISTA TESORERIA Y CONCILIACIÓN,"$15,000  Mensual","Atento Servicios, S. A...","Cuajimalpa de Morelos, CDMX"
Analista de pago a proveedores,Sueldo no mostrado por la empresa,SYGNO,"San Bartolo Naucalpan (Naucalpan Centro), Naucalpan de Juárez, Edo. Méx.​"
Analista de Negocios - Business Analyst,Sueldo no mostrado por la empresa,,"Monterrey, N.L."
Analista BI,"$40,000 - $45,000  Mensual",Sistemas Mexicanos,"Monterrey, N.L."
Analista Email Marketing,Sueldo no mostrado por la empresa,Grupo AXO,CDMX
Facilities Jr,"$15,000 - $21,000  Mensual","Manpower, S.A. de C.V.",SLP.
Analista de Cobranza Bilingüe,Sueldo no mostrado por la empresa,KPMG Cardenas Dosal,CDMX
Analista en Prevención de Fraudes | Querétaro,"$15,000  Mensual","Manpower, S.A. de C.V.","Querétaro, Qro."
Analista de emisión,Sueldo no mostrado por la empresa,CARDIF MEXICO SEGUROS ...,"Polanco I Sección, Miguel Hidalgo, CDMX"
ANALISTA DE LICITACIONES - CANAL FARMACEUTICO,Sueldo no mostrado por la empresa,,"Tlalpan, CDMX"
ANALISTA DE NOMINAS,Sueldo no mostrado por la empresa,,"El Jagüey, Azcapotzalco, CDMX"
Analista de Presupuestos,"$13,000 - $15,000  Mensual",P C&B FACILITY MANAGEM...,"Álvaro Obregón, CDMX"
Analista Senior - Análisis de Competencia,Sueldo no mostrado por la empresa,"Coppel, S.A. de C.V.","Miguel Hidalgo, CDMX"
Analista de riesgos,Sueldo no mostrado por la empresa,Omnilife,"Guadalajara, Jal."
Analista de Call Center,"$7,000 - $7,001  Mensual",Te creemos Administrac...,"Benito Juárez, CDMX"
ANALISTA DE LICITACIONES SECTOR SALUD,"$14,000  Mensual",Centrum Promotora Inte...,"Cuauhtémoc, CDMX"
Analista de Integración Calidad,"$15,000 - $18,000  Mensual",,CDMX
Analista de Facturación Bilingue,"$24,000 - $25,000  Mensual",Ryder,"Tijuana, BC."
Desarrollador analista,"$30,000 - $40,000  Mensual",,"Santa Catarina, N.L."
Analista de Vinculación-Organización de Eventos,"$15,000  Mensual",Desarrollo en Competen...,"Polanco I Sección, Miguel Hidalgo, CDMX"
Analista pleno estadístico,"$38,250  Mensual",Adecco,"Miguel Hidalgo, CDMX"
Analista de cuentas por cobrar,Sueldo no mostrado por la empresa,,CDMX
Analista de Ventas,"$8,000 - $9,000  Mensual","IMPULSORA SAHUAYO, SA ...","Central de Abasto, Iztapalapa, CDMX"
Analista de Desarrollo Organizacional,Sueldo no mostrado por la empresa,everis,CDMX
Analista de Información Financiera,Sueldo no mostrado por la empresa,,"Apodaca, N.L."
ANALISTA DE INGRESOS,"$15,000 - $20,000  Mensual",WALDO'S DOLAR MART DE ...,"Lerma, Edo. Méx.​"
Analista de Suscripciones,"$10,000 - $12,000  Mensual",,CDMX
ANALISTA DE SISTEMAS JAVA,Sueldo no mostrado por la empresa,Hitss,CDMX
Analista business intelligence,"$15,000 - $17,000  Mensual",VALUE BY INNOVATION GR...,"Polanco III Sección, Miguel Hidalgo, CDMX"
ADMINISTRADOR DE DISTRIBUIDORES PLAN HOTELERO,"$18,000 - $20,000  Mensual",Sky,"Álvaro Obregón, CDMX"
Administrativa comercial,Sueldo no mostrado por la empresa,SAINT-GOBAIN SOPORTE Y...,"Cuautla, Mor."
Analista de programación,"$11,000  Mensual",DHL México,"Finsa, Cuautlancingo, Pue."
Planeador de inventarios,Sueldo no mostrado por la empresa,Herramientas Truper,"Miguel Hidalgo, CDMX"
Analista de calidad,Sueldo no mostrado por la empresa,,"Puebla, Pue."
Sr. Data Analyst BI,"$50,000  Mensual",ESSILORLUXOTTICA MEXIC...,"Chihuahua, Chih."
Data Analyst (Production Process Optimization),Sueldo no mostrado por la empresa,SIEMENS SA DE CV,"Guadalajara, Jal."
Strategy & Business Intelligence Data Analyst,Sueldo no mostrado por la empresa,Page Personnel,"Monterrey, N.L."
Data Engineering Analyst,Sueldo no mostrado por la empresa,"Accenture, S.C.",Yuc.
PDM / Data Entry Analyst,"$16,000 - $18,000  Mensual",Grupo Assa Abloy,"Santa María Tequepexpan, Tlaquepaque, Jal."
ANALISTA DE DATOS,Sueldo no mostrado por la empresa,,"Cuautitlán Izcalli, Edo. Méx.​"
Analista de datos (por incapacidad),"$17,000 - $18,000  Mensual",Sky,"Benito Juárez, CDMX"
ANALISTA DE DATOS,Sueldo no mostrado por la empresa,Hitss,CDMX
Analista de Datos,"$20,000 - $25,000  Mensual",Aceros Levinson S.A. d...,"Monterrey, N.L."
Analista de Datos y Costos,"$15,000 - $18,000  Mensual",,"San Miguel de Allende, Gto."
Analista de Datos Bussines Intelligence,Sueldo no mostrado por la empresa,Comercializadora de Va...,"Guadalajara, Jal."
Analista de datos maestros SAP,Sueldo no mostrado por la empresa,"Productos Verde Valle,...","Zapopan, Jal."
Control y Cobertura de Mercadeo,"$20,000 - $21,000  Mensual",Cervecería Cuauhtémoc ...,"Durango, Dgo."
Analista de Base de Datos,"$15,000 - $16,000  Mensual",Grupo Daisa,"Cuauhtémoc, CDMX"
Analista Data,"$15,000 - $15,001  Mensual",,CDMX
Automation tester,Sueldo no mostrado por la empresa,Softtek,
Analista de Mejora de Procesos y Cumplimiento (PIC) -Practic,"$7,500  Mensual",Softtek,"Monterrey, N.L."
ANALISTA DE CONTROL DE LA INFORMACION,"$14,999 - $15,000  Mensual",Libertad Servicios Fin...,"Querétaro, Qro."
Bilingual Business Analyst- Remote,Sueldo no mostrado por la empresa,"OUTOKUMPU MEXINOX, S.A...",Edo. Méx.​
"Data Audit Specialist bilingual, remote, freelance","$15,000 - $20,000  Mensual",Christian Muller,
RPA Business Analyst,"$38,000 - $40,000  Mensual",Adecco,"Santa Fe, Álvaro Obregón, CDMX"
Resource Planning FP&A Systems Analyst,Sueldo no mostrado por la empresa,Michael Page,
Practicante Estrategia DI,Sueldo no mostrado por la empresa,SIEMENS SA DE CV,CDMX
Financial Analyst,Sueldo no mostrado por la empresa,SIEMENS SA DE CV,CDMX
cost account analyst,Sueldo no mostrado por la empresa,"Robert Bosch, S.A. de ...",Chih.
SAP FICO Business Analyst,Sueldo no mostrado por la empresa,ZURICH ASEGURADORA MEX...,CDMX
Pricing Analyst,Sueldo no mostrado por la empresa,SIEMENS SA DE CV,CDMX
senior financial analyst,Sueldo no mostrado por la empresa,"Robert Bosch, S.A. de ...",Chih.
Test Analyst,Sueldo no mostrado por la empresa,ZURICH ASEGURADORA MEX...,CDMX
Financial Crime Technical Consultant,Sueldo no mostrado por la empresa,ZURICH ASEGURADORA MEX...,CDMX
0365 Support Analyst,Sueldo no mostrado por la empresa,ZURICH ASEGURADORA MEX...,CDMX
Financial Analyst (Factory),Sueldo no mostrado por la empresa,SIEMENS SA DE CV,"Querétaro, Qro."
IT Analyst- Physical Distribution Solutions,Sueldo no mostrado por la empresa,L'OREAL AMERICA LATINA...,
CLAIMS ANALYST I,Sueldo no mostrado por la empresa,"AIG Seguros Mexico, SA...",CDMX
Assistant Tax Manager,Sueldo no mostrado por la empresa,"AIG Seguros Mexico, SA...",CDMX
Sr Sales Analytics Specialist,Sueldo no mostrado por la empresa,,CDMX
Optimization Web Analytics Analyst,Sueldo no mostrado por la empresa,"AIG Seguros Mexico, SA...",CDMX
Optimization UI and Content Analyst,Sueldo no mostrado por la empresa,"AIG Seguros Mexico, SA...",CDMX
Claims Analyst I,Sueldo no mostrado por la empresa,"AIG Seguros Mexico, SA...",CDMX
Logistics analyst,Sueldo no mostrado por la empresa,Genpact Mexico,"Juárez, Chih."
Materials Mgmt Analyst II,Sueldo no mostrado por la empresa,,N.L.
Cost Accounting Coordinator,Sueldo no mostrado por la empresa,Genpact Mexico,"Juárez, Chih."
Accountant Analyst,"$22,000 - $22,800  Mensual",,"Altamira, Tamps."
Aftermark Analyst,Sueldo no mostrado por la empresa,,"García, N.L."
Business Analyst Cybersecurity,"$41,000 - $46,000  Mensual","Manpower, S.A. de C.V.","Azcapotzalco, CDMX"
INNOVATION FINANCE ANALYST,"$30,000 - $37,000  Mensual",Seres Leading S.A. de ...,"Chichimequillas, El Marqués, Qro."
Senior Business Systems Analyst for HR,Sueldo no mostrado por la empresa,KOCH SHARED SERVICES M...,"El Salto, Jal."
Cost Analyst,Sueldo no mostrado por la empresa,Genpact Mexico,"Juárez, Chih."
