Job,Company,Location,Min Salary,Max Salary,Avg Salary
Data Analyst,Not Disclosed,Estado de México,,,
Data Analyst,Hitss,Ciudad de México,,,
Data Analyst,Aceros Levinson S.A. D...,Nuevo León,20000.0,25000.0,22500.0
Data Analyst,Sky,Ciudad de México,17000.0,18000.0,17500.0
Data Analyst,Not Disclosed,Guanajuato,15000.0,18000.0,16500.0
Data Analyst,Comercializadora De Va...,Jalisco,,,
Data Analyst,"Productos Verde Valle,...",Jalisco,,,
Data Analyst,Servicios Tvm De Méxic...,Ciudad de México,30000.0,35000.0,32500.0
Data Analyst,"Manpower, S.A. De C.V.",San Luis Potosí,15000.0,15000.0,15000.0
Data Analyst,Grupo Daisa,Ciudad de México,15000.0,16000.0,15500.0
Data Analyst,"Hermanos Batta, S.A. D...",Guanajuato,10000.0,12000.0,11000.0
Data Analyst,Grupo Kasa,Estado de México,,,
Data Analyst,Alta Rentabilidad Sa D...,Ciudad de México,7000.0,10000.0,8500.0
Data Analyst,Especialistas Contacto...,Ciudad de México,18000.0,20000.0,19000.0
Data Analyst,Tangerine Distributions,Ciudad de México,9000.0,12000.0,10500.0
Data Analyst,Not Disclosed,Ciudad de México,15000.0,16500.0,15750.0
Data Analyst,"Atento Servicios, S. A...",Estado de México,7640.0,9900.0,8770.0
Data Analyst,"Atento Servicios, S. A...",Estado de México,7600.0,9000.0,8300.0
Data Analyst,"Atento Servicios, S. A...",Estado de México,7600.0,9000.0,8300.0
Data Analyst,Alta Rentabilidad Sa D...,Ciudad de México,7000.0,7000.0,7000.0
Data Analyst,"Atento Servicios, S. A...",Hidalgo,7600.0,9000.0,8300.0
Data Analyst,"Atento Servicios, S. A...",Estado de México,7640.0,9900.0,8770.0
Data Analyst,"Atento Servicios, S. A...",Hidalgo,7640.0,9900.0,8770.0
Data Analyst,Alta Rentabilidad Sa D...,Ciudad de México,7000.0,7000.0,7000.0
Data Analyst,Grupo Prom,Ciudad de México,15000.0,15000.0,15000.0
Data Analyst,Siemens Sa De Cv,Jalisco,,,
Data Analyst,Essilorluxottica Mexic...,Chihuahua,50000.0,50000.0,50000.0
Data Analyst,Page Personnel,Nuevo León,,,
Business Analyst,"Outokumpu Mexinox, S.A...",Estado de México,,,
Business Analyst,Not Disclosed,Ciudad de México,25000.0,25500.0,25250.0
Business Analyst,Not Disclosed,Nuevo León,,,
Data Analyst,"Accenture, S.C.",Yucatán,,,
Data Analyst,Grupo Assa Abloy,Jalisco,16000.0,18000.0,17000.0
Business Analyst,Adecco,Ciudad de México,38000.0,40000.0,39000.0
Business Analyst,Zurich Aseguradora Mex...,Ciudad de México,,,
Business Analyst,"Manpower, S.A. De C.V.",Ciudad de México,41000.0,46000.0,43500.0
Business Analyst,Koch Shared Services M...,Jalisco,,,
Business Analyst,Bairesdev Llc / (Tax I...,Ciudad de México,,,
Data Analyst,Dal-Tile,Nuevo León,,,
Data Analyst,Neoris(Cemtec),Nuevo León,,,
Data Analyst,"Inflection Point, S.A....",Nuevo León,,,
Data Analyst,Sky,Ciudad de México,,,
Data Analyst,G-3Pl,Baja California,30000.0,32000.0,31000.0
Data Analyst,Not Disclosed,Ciudad de México,40000.0,42000.0,41000.0
Data Analyst,"Stefanini México, S.A....",Ciudad de México,,,
Data Analyst,Not Disclosed,Ciudad de México,,,
Data Analyst,Axiem Mexico S De Rl D...,Querétaro,22000.0,24999.0,23499.5
Data Analyst,Tetengo,Ciudad de México,20000.0,24000.0,22000.0
Data Analyst,Interware,Ciudad de México,35000.0,38000.0,36500.0
Data Analyst,Tech Mahindra Mexico C...,Nuevo León,,,
Data Analyst,Getecsa,Not Disclosed,60000.0,70000.0,65000.0
Data Analyst,Especialistas En Talen...,Ciudad de México,70000.0,80000.0,75000.0
Data Analyst,Herbalife Internaciona...,Jalisco,32000.0,33000.0,32500.0
Data Analyst,Kerry Ingredients (De ...,Querétaro,,,
Data Analyst,Everis,Ciudad de México,,,
Data Analyst,Not Disclosed,Ciudad de México,50000.0,56000.0,53000.0
Data Analyst,Nassa  Johnston Sa De Cv,Nuevo León,,,
Data Analyst,Exhibidora Mexicana Ci...,Ciudad de México,20000.0,22000.0,21000.0
Data Analyst,Not Disclosed,Ciudad de México,,,
Data Analyst,Santander,Ciudad de México,,,
Data Analyst,Bairesdev Llc / (Tax I...,Ciudad de México,,,
Data Analyst,"Manpower, S.A. De C.V.",Chiapas,12000.0,12000.0,12000.0
Data Analyst,Banamex,Ciudad de México,25000.0,28000.0,26500.0
Data Analyst,Cmdta Mex S De Rl De Cv,Ciudad de México,12000.0,15000.0,13500.0
Data Analyst,Brp Queretaro,Querétaro,,,
Data Analyst,Bairesdev Llc / (Tax I...,Ciudad de México,,,
Data Analyst,Ser-Es Optimizacion Y ...,Nuevo León,20000.0,25000.0,22500.0
Data Analyst,Not Disclosed,Ciudad de México,,,
Data Analyst,Tramitologia Empresari...,Ciudad de México,30000.0,40000.0,35000.0
Data Analyst,Not Disclosed,Ciudad de México,,,
Data Analyst,Softtek,Jalisco,,,
Data Analyst,"Gonet, S.A. De C.V.",Ciudad de México,,,
Data Analyst,"Bimbo, S.A. De C.V.",Ciudad de México,13000.0,16000.0,14500.0
Data Analyst,Kelly Services,Estado de México,,,
Data Analyst,Not Disclosed,Nuevo León,13000.0,15000.0,14000.0
Data Analyst,Not Disclosed,Ciudad de México,28000.0,28000.0,28000.0
Data Analyst,Babel Sistemas De Info...,Ciudad de México,,,
Data Analyst,Kelly Services,Nuevo León,,,
Data Analyst,Not Disclosed,Nuevo León,20000.0,25000.0,22500.0
Data Analyst,Adecco,Ciudad de México,20000.0,25000.0,22500.0
Data Analyst,G. De Villa Y Asociados,Ciudad de México,20000.0,24000.0,22000.0
Data Analyst,Getecsa,Nuevo León,,,
Data Analyst,Not Disclosed,Chihuahua,,,
Data Analyst,Not Disclosed,Ciudad de México,10000.0,12000.0,11000.0
Data Analyst,Bbva Bancomer,Ciudad de México,,,
Data Analyst,Oym Hospital Toluca,Estado de México,13000.0,14000.0,13500.0
Data Analyst,Universidad Mexicana,Ciudad de México,9000.0,10100.0,9550.0
Data Analyst,Emotion Clean S.A. De ...,Jalisco,,,
Data Analyst,Centro De Servicios Cr...,Estado de México,7000.0,7000.0,7000.0
Data Scientist,Ami International,Nuevo León,,,
Data Scientist,Not Disclosed,Nuevo León,40000.0,50000.0,45000.0
Data Scientist,Not Disclosed,Ciudad de México,40000.0,50000.0,45000.0
Data Scientist,Computación En Acción,Jalisco,,,
Data Scientist,Bbva Bancomer,Ciudad de México,,,
Data Scientist,Corus Systems & Consul...,Ciudad de México,,,
Business Analyst,Not Disclosed,Nuevo León,,,
Data Scientist,Exitus Capital Sapi De...,Ciudad de México,12000.0,15000.0,13500.0
Data Scientist,Not Disclosed,Ciudad de México,,,
Data Scientist,Bbva Bancomer,Ciudad de México,,,
Data Scientist,Liverpool,Ciudad de México,,,
Data Scientist,Page Personnel,Estado de México,,,
Data Scientist,Toshiba Global Commerc...,Jalisco,,,
Data Scientist,Desarrollo En Competen...,Ciudad de México,39000.0,40000.0,39500.0
Data Scientist,Indra,Not Disclosed,50000.0,70000.0,60000.0
Data Scientist,Zegovia Rh Sa De Cv,Sinaloa,70000.0,80000.0,75000.0
Data Scientist,Bairesdev Llc / (Tax I...,Ciudad de México,,,
Data Scientist,Not Disclosed,Nuevo León,20000.0,25000.0,22500.0
Data Scientist,Banco Del Bajio S.A.,Guanajuato,,,
Data Scientist,Sky,Ciudad de México,30000.0,32000.0,31000.0
Data Scientist,Resources Connection M...,Ciudad de México,70000.0,80000.0,75000.0
Data Scientist,Universidad Latinoamer...,Ciudad de México,20000.0,25000.0,22500.0
Data Scientist,"Coppel, S.A. De C.V.",Ciudad de México,,,
Data Scientist,Banorte,Ciudad de México,26000.0,27000.0,26500.0
Data Scientist,Grupo Salinas,Ciudad de México,,,
Data Scientist,Thtec Talento Humano E...,Ciudad de México,35000.0,45000.0,40000.0
Data Scientist,"Cognodata México, S. D...",Ciudad de México,41000.0,51000.0,46000.0
Data Scientist,Centrum Promotora Inte...,Ciudad de México,20000.0,25000.0,22500.0
Data Scientist,Liverpool,Ciudad de México,,,
Data Scientist,Liverpool,Ciudad de México,,,
Data Analyst,Farmacia San Pablo,Ciudad de México,13000.0,15000.0,14000.0
Data Architect,Praxis,Ciudad de México,,,
Data Engineer,Not Disclosed,Ciudad de México,27000.0,27001.0,27000.5
Data Engineer,Not Disclosed,Ciudad de México,59000.0,59001.0,59000.5
Data Architect,Potentor,Nuevo León,,,
Data Engineer,Bairesdev Llc / (Tax I...,Ciudad de México,,,
Data Scientist,Not Disclosed,Ciudad de México,,,
Data Scientist,"Compartamos Servicios,...",Ciudad de México,50000.0,50000.0,50000.0
Data Scientist,Not Disclosed,Ciudad de México,,,
