Job,Salary,Company,Location
ANALISTA DE DATOS,Sueldo no mostrado por la empresa,,"Cuautitlán Izcalli, "
ANALISTA DE DATOS,Sueldo no mostrado por la empresa,Hitss,CDMX
Analista de datos,"$13,000 - $15,000  Mensual",,"Monterrey, "
Analista de datos Senior,"$30,000 - $40,000  Mensual",Tramitologia empresari...,"Cuauhtémoc, "
Analista de datos de mercado,"$20,000 - $24,000  Mensual",G. De Villa y Asociados,CDMX
Analista de Datos y Costos,"$15,000 - $18,000  Mensual",,"San Miguel de Allende, "
Ingeniero analista de datos,"$20,000 - $30,000  Mensual",,"Monterrey, "
Analista de Datos Bussines Intelligence,Sueldo no mostrado por la empresa,Comercializadora de Va...,"Guadalajara, "
Analista de datos maestros SAP,Sueldo no mostrado por la empresa,"Productos Verde Valle,...","Zapopan, "
Bases de Datos Analista,"$15,000  Mensual","Manpower, S.A. de C.V.","San Luis Potosí, "
Analista base de datos,"$30,000 - $35,000  Mensual",Servicios TVM de Méxic...,"Miguel Hidalgo, "
Analista minería de datos,"$15,000 - $18,000  Mensual",,"Cuajimalpa de Morelos, "
Analista Base Datos (Epicor),"$19,000 - $20,000  Mensual",,"Cuajimalpa de Morelos, "
Analista de Base de Datos,"$15,000 - $16,000  Mensual",Grupo Daisa,"Cuauhtémoc, "
Analista de mineria de datos,"$7,000 - $10,000  Mensual",ALTA RENTABILIDAD SA D...,"Benito Juárez, "
Analista de Base de Datos,Sueldo no mostrado por la empresa,Grupo Kasa,"Tlalnepantla de Baz, "
Analista de base de datos,"$18,000 - $20,000  Mensual",Especialistas Contacto...,"Tlalpan, "
Analista de minería de datos,"$9,000 - $12,000  Mensual",TANGERINE DISTRIBUTIONS,
Analista de ingeniera de datos,"$17,000  Mensual","Manpower, S.A. de C.V.",
"Analista de datos contables (Cuauhtémoc, Ciudad de México)",Sueldo no mostrado por la empresa,BBVA Bancomer,
Analista Estadístico de Datos para Contac Center,"$7,640 - $9,900  Mensual","Atento Servicios, S. A...",
Analista de Tecnología de Datos para Contac Center,"$7,600 - $9,000  Mensual","Atento Servicios, S. A...",
Analista de Tecnología de Datos para Contac Center,"$7,600 - $9,000  Mensual","Atento Servicios, S. A...",
ANALISTA DE MINERIA DE DATOS AT&T,"$7,000  Mensual",ALTA RENTABILIDAD SA D...,
Analista de Tecnología de Datos para Contac Center,"$7,600 - $9,000  Mensual","Atento Servicios, S. A...",
Analista de Bases de datos ( Planeación de Suministro),"$18,500  Mensual",Ópticas Lux,
Analista de Minería de Datos e Información Contac Center,"$7,600 - $9,500  Mensual","Atento Servicios, S. A...",
ANALISTA DE MINERIA DE DATOS AT&T/ MEDIO TIEMPO ESTUDIAN,"$7,000  Mensual",ALTA RENTABILIDAD SA D...,
Data analyst,Sueldo no mostrado por la empresa,"Stefanini México, S.A....",
Sr. Data Analyst BI,"$50,000  Mensual",ESSILORLUXOTTICA MEXIC...,
ERP / CRM Data Analyst - Remote Work,Sueldo no mostrado por la empresa,BAIRESDEV LLC / (Tax I...,
Strategy & Business Intelligence Data Analyst,Sueldo no mostrado por la empresa,Page Personnel,
Ingeniera/o Industrial o carrera afín- Excel avanzado,"$12,000  Mensual",,
"ANALYST POWER BI, MY SQL, TABLEU","$17,600 - $19,600  Mensual",Grupo Salinas,
Analista de Mejora de Procesos y Cumplimiento (PIC) -Practic,"$7,500  Mensual",Softtek,
Talent Data Analytics - Remote Work,Sueldo no mostrado por la empresa,BAIRESDEV LLC / (Tax I...,
ANALISTA DE CONTROL DE LA INFORMACION,"$14,999 - $15,000  Mensual",Libertad Servicios Fin...,
CIENTIFICO DE DATOS,"$20,000 - $25,000  Mensual",Centrum Promotora Inte...,
Líder de proyecto,"$23,000  Mensual",Grupo Salinas,
Líder de proyecto,"$23,000  Mensual",Grupo Salinas,
Analista Jr. de Vendor Master Data,Sueldo no mostrado por la empresa,HERBALIFE INTERNACIONA...,
"Data Audit Specialist bilingual, remote, freelance","$15,000 - $20,000  Mensual",Christian Muller,
Auditor Jr.,"$18,000 - $19,000  Mensual",Estafeta Mexicana,
ANALISTA DE INFORMACIÓN Y CONTROL- CDMX,"$12,000 - $14,000  Mensual",Banco Monex S.A. Insti...,
Analista de Sistemas,"$15,000  Mensual",GABRIEL BAYON Y COMPAÑ...,
Contenedores Openshift Analista,"$15,000  Mensual","Manpower, S.A. de C.V.",
Analista de indicadores RH,"$11,000 - $12,000  Mensual",SEGLO OPERACIONES LOGI...,
ANALISTA DE BI,"$17,600 - $17,601  Mensual",Grupo Salinas,
ANALISTA DE ENERGIAS,"$20,000 - $25,000  Mensual",Comercializadora GONAC...,
Analista Business Intelligence - ETL,"$50,000 - $60,000  Mensual","Manpower, S.A. de C.V.",
Analista de riesgos de liquidez y capitalización,Sueldo no mostrado por la empresa,"CIBANCO, S.A. INSTITUC...",
Analista de Comunicación y diseño multimedia,"$18,000 - $18,001  Mensual",,
Analista en Prevención de Fraudes | Querétaro,"$15,000  Mensual","Manpower, S.A. de C.V.",
TTech_Analista SOC N1,Sueldo no mostrado por la empresa,Pegaso PCS,
ANALISTA  B2B-MX,Sueldo no mostrado por la empresa,Pegaso PCS,
ANALISTA DE PROYECTOS,Sueldo no mostrado por la empresa,"Productos Maver, S.A. ...",
Analista de Mesa de Servicio L2,Sueldo no mostrado por la empresa,,
Asesor - Analista Fiscal,"$17,000  Mensual",,
Analista programador Java,Sueldo no mostrado por la empresa,,
Analista comercial,"$6,000 - $6,300  Mensual",Grupo KC,
ANALISTA DE NUEVOS PRODUCTOS,Sueldo no mostrado por la empresa,"Productos Maver, S.A. ...",
